                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91448,                 1.7668,                 1.8083,                 1.1064,                0.71737,                0.61168,                0.68585,                0.53508,                0.71929,                0.62209,                0.68943,                0.56925,                0.77955,                 1.1173,                 1.3119,                 1.0341,             0.00047175,             0.00047175,             0.00047175
                      2,                0.92015,                 1.6235,                 1.0873,                 1.1037,                0.61683,                0.66368,                0.69777,                0.53696,                0.62747,                0.64998,                0.69696,                0.51893,                 0.8096,                 1.4763,                  1.265,                 1.0966,              0.0009387,              0.0009387,              0.0009387
                      3,                0.92528,                 1.6108,                0.96722,                 1.1066,                0.59323,                 0.6775,                0.63455,                0.44081,                0.58495,                0.66287,                 0.6208,                0.34947,                0.95006,                  2.591,                 1.7875,                 1.2513,              0.0013962,              0.0013962,              0.0013962
                      4,                0.92661,                 1.6036,                0.89582,                 1.1097,                0.75392,                0.73912,                 0.7962,                0.59982,                0.75912,                0.74345,                0.78562,                0.59434,                0.81215,                 1.3489,                 1.0247,                 1.1244,              0.0013866,              0.0013866,              0.0013866
                      5,                0.91506,                  1.553,                0.83491,                 1.1027,                0.82824,                0.77895,                 0.8562,                0.67048,                0.81947,                0.77064,                0.84168,                0.67011,                0.75477,                 1.1642,                0.77683,                 1.0609,              0.0013866,              0.0013866,              0.0013866
                      6,                0.88938,                  1.493,                0.76581,                 1.0899,                0.88299,                0.81051,                0.90031,                0.70321,                0.88384,                0.81267,                0.90435,                 0.7359,                0.72305,                0.88201,                0.68002,                 1.0192,              0.0013724,              0.0013724,              0.0013724
                      7,                0.85442,                 1.4437,                0.71692,                 1.0736,                0.90042,                0.70991,                0.85052,                  0.672,                0.91614,                0.71822,                0.85478,                0.70529,                0.67835,                 0.9516,                0.74649,                 1.0152,              0.0013583,              0.0013583,              0.0013583
                      8,                0.86442,                 1.4538,                0.71509,                  1.075,                0.83917,                0.82299,                0.86364,                0.71189,                 0.8408,                0.82472,                0.86481,                0.72483,                0.67877,                0.98841,                  0.657,                 1.0101,              0.0013441,              0.0013441,              0.0013441
                      9,                0.83539,                 1.4106,                0.68347,                 1.0578,                0.87269,                 0.8097,                0.88594,                0.72073,                0.87004,                 0.8071,                0.88254,                0.73924,                0.65489,                0.92967,                0.65394,                0.99235,                0.00133,                0.00133,                0.00133
                     10,                0.81984,                 1.3748,                0.65584,                 1.0508,                 0.8806,                0.84708,                0.89354,                0.74112,                0.88324,                0.84969,                0.89332,                0.76064,                0.63825,                0.85408,                0.63829,                 1.0053,              0.0013158,              0.0013158,              0.0013158
